latitude,longitude,moho
-90.0,27.794495821726997,35.73676602576961
-90.0,28.795532033426184,35.65333615860436
-90.0,29.796568245125343,35.56970142245336
-90.0,30.7976044568245,35.48586697707651
-90.0,31.79864066852366,35.40183804171102
-90.0,32.79967688022282,35.31762017541041
-90.0,33.800713091922006,35.2332175799711
-90.0,34.801749303621165,35.14863576687276
-90.0,35.80278551532032,35.06387907721364
-90.0,36.80382172701948,34.97895261759186
-90.0,37.80485793871864,34.893860398766265
-90.0,38.80589415041783,34.80860754571768
-90.0,39.80693036211699,34.723197998395335
-90.0,40.807966573816145,34.637636637438845
-90.0,41.809002785515304,34.55192723649816
-90.0,42.81003899721446,34.46607427165145
-90.0,43.81107520891365,34.380081851326395
-90.0,44.81211142061281,34.29395441876477
-90.0,45.81314763231197,34.207695585646434
-90.0,46.814183844011126,34.121309741163714
-90.0,47.815220055710284,34.034800698791514
-90.0,48.81625626740947,33.94817217814489
-90.0,49.81729247910863,33.861428353928204
-90.0,50.81832869080779,33.77457320913163
-90.0,51.81936490250695,33.68761023694606
-90.0,52.820401114206106,33.60054356634646
-90.0,53.82143732590529,33.51337659501951
-90.0,54.82247353760445,33.42611341106385
-90.0,55.82350974930361,33.33875742493183
-90.0,56.82454596100277,33.251312503529334
-90.0,57.82558217270193,33.16378237837489
-90.0,58.82661838440109,33.07617041191406
-90.0,59.827654596100274,32.9884803264722
-90.0,60.82869080779943,32.9007157557171
-90.0,61.82972701949859,32.81288043362292
-90.0,62.83076323119775,32.724977735408174
-90.0,63.83179944289691,32.63701128007597
-90.0,64.8328356545961,32.548984649612976
-90.0,65.83387186629525,32.460901294183714
-90.0,66.83490807799441,32.37276482805464
-90.0,67.83594428969357,32.28457866891404
-90.0,68.83698050139273,32.19634663748002
-90.0,69.83801671309192,32.108071889895655
-90.0,70.83905292479108,32.01975793454767
-90.0,71.84008913649023,31.931408621006995
-90.0,72.8411253481894,31.843027420633007
-90.0,73.84216155988855,31.754617604921805
-90.0,74.84319777158774,31.666182809731254
-90.0,75.8442339832869,31.577726457209792
-90.0,76.84527019498606,31.48925220628371
-90.0,77.84630640668522,31.400763453159016
-90.0,78.84734261838437,31.3122641903974
-90.0,79.84837883008353,31.2237574997489
-90.0,80.84941504178269,31.135247037342197
-90.0,81.85045125348185,31.04673656133309
-90.0,82.85148746518107,30.958229685173137
-90.0,83.85252367688022,30.869729713274864
-90.0,84.85355988857938,30.78124059039328
-90.0,85.85459610027854,30.692766113417747
-90.0,86.8556323119777,30.604309604736045
-90.0,87.85666852367686,30.51587477650901
-90.0,88.85770473537602,30.42746575195997
-90.0,89.85874094707518,30.339085871641146
-90.0,90.85977715877434,30.250739522860385
-90.0,91.8608133704735,30.162429823078128
-90.0,92.86184958217271,30.074160898093396
-90.0,93.86288579387187,29.985937103636388
-90.0,94.86392200557103,29.89776160130714
-90.0,95.86495821727019,29.80963927096309
-90.0,96.86599442896934,29.721573385333613
-90.0,97.8670306406685,29.633568413388275
-90.0,98.86806685236766,29.54562825472749
-90.0,99.86910306406682,29.45775733696064
-90.0,100.87013927576598,29.369959967363684
-90.0,101.87117548746514,29.282240293330688
-90.0,102.87221169916435,29.194602667521394
-90.0,103.87324791086351,29.1070518726483
-90.0,104.87428412256267,29.01959192758295
-90.0,105.87532033426183,28.93222788840285
-90.0,106.87635654596099,28.844964307736518
-90.0,107.87739275766015,28.75780593945092
-90.0,108.8784289693593,28.670757676845824
-90.0,109.87946518105846,28.58382481021181
-90.0,110.88050139275762,28.4970122351624
-90.0,111.88153760445678,28.410325045260834
-90.0,112.882573816156,28.323769065744273
-90.0,113.88361002785516,28.23734956820772
-90.0,114.88464623955431,28.151072127908265
-90.0,115.88568245125347,28.06494268451206
-90.0,116.88671866295263,27.9789675138818
-90.0,117.88775487465179,27.893152595148422
-90.0,118.88879108635095,27.807504600779794
-90.0,119.88982729805011,27.722030286739027
-90.0,120.89086350974927,27.636736395928892
-90.0,121.89189972144842,27.5516302119795
-90.0,122.89293593314758,27.466719502601336
-90.0,123.8939721448468,27.38201235399174
-90.0,124.89500835654596,27.29751676356318
-90.0,125.89604456824512,27.213241958172148
-90.0,126.89708077994428,27.129197072605166
-90.0,127.89811699164343,27.045392318828817
-90.0,128.8991532033426,26.96183823771571
-90.0,129.90018941504175,26.878546492407622
-90.0,130.9012256267409,26.79552957094711
-90.0,131.90226183844007,26.71280120634401
-90.0,132.90329805013923,26.63037670329868
-90.0,133.90433426183844,26.548273282460286
-90.0,134.9053704735376,26.46651002317958
-90.0,135.90640668523676,26.385110886170878
-90.0,136.90744289693592,26.30410304722318
-90.0,137.90847910863508,26.223522582895384
-90.0,138.90951532033424,26.143419229341816
-90.0,139.9105515320334,26.063882905862556
-90.0,140.91158774373255,25.985093334962585
-90.0,141.9126239554317,25.906902106293273
-90.0,142.91366016713087,25.82920363103767
-90.0,143.9146963788301,25.751944848561834
-90.0,144.91573259052925,25.675090200333216
-90.0,145.9167688022284,25.59861258653109
-90.0,146.91780501392756,25.522489663355373
-90.0,147.91884122562672,25.446702958201058
-90.0,148.91987743732588,25.371237002520502
-90.0,149.92091364902504,25.296077795799647
-90.0,150.9219498607242,25.22121340832382
-90.0,151.92298607242336,25.146632351865264
-90.0,152.92402228412251,25.072325154844293
-90.0,153.92505849582173,24.998282276443206
-90.0,154.9260947075209,24.924495720835694
-90.0,155.92713091922005,24.850957827962702
-90.0,156.9281671309192,24.777661146184982
-90.0,157.92920334261837,24.704599176995544
-90.0,158.93023955431752,24.631765642108803
-90.0,159.93127576601668,24.55915438073498
-90.0,160.93231197771584,24.486760239720752
-90.0,161.933348189415,24.414577708335855
-90.0,162.93438440111416,24.34260199518758
-90.0,163.93542061281332,24.270828218865063
-90.0,164.93645682451253,24.199252044236346
-90.0,165.9374930362117,24.12786904222594
-90.0,166.93852924791085,24.05667528471895
-90.0,167.93956545961,23.985666872249567
-90.0,168.94060167130917,23.914839830718847
-90.0,169.94163788300833,23.844190771396825
-90.0,170.94267409470748,23.773716320527456
-90.0,171.94371030640664,23.703413048573566
-90.0,172.9447465181058,23.633277442204417
-90.0,173.94578272980496,23.563307123957202
-90.0,174.94681894150418,23.493498545019975
-90.0,175.94785515320334,23.42384908650274
-90.0,176.9488913649025,23.354356110296067
-90.0,177.94992757660165,23.28501698261971
-90.0,178.9509637883008,23.215828462587524
-90.0,179.952,23.146788783342345
-89.0028710982659,-179.42,31.71432682291345
-89.0028710982659,-178.41896378830083,31.73709554985942
-89.0028710982659,-177.41792757660167,31.759920972194436
-89.0028710982659,-176.41689136490248,31.78278928021234
-89.0028710982659,-175.41585515320332,31.805686317091613
-89.0028710982659,-174.41481894150417,31.828597619603897
-89.0028710982659,-173.413782729805,31.85150841347445
-89.0028710982659,-172.41274651810585,31.874403700891207
-89.0028710982659,-171.41171030640666,31.897268257150586
-89.0028710982659,-170.4106740947075,31.920086706073562
-89.0028710982659,-169.40963788300834,31.94284354064564
-89.0028710982659,-168.40860167130919,31.96552317848716
-89.0028710982659,-167.40756545961003,31.988110007812338
-89.0028710982659,-166.40652924791084,32.01058843981991
-89.0028710982659,-165.40549303621168,32.0329429447271
-89.0028710982659,-164.40445682451252,32.0551581234007
-89.0028710982659,-163.40342061281336,32.07721873089292
-89.0028710982659,-162.4023844011142,32.0991097603287
-89.0028710982659,-161.40134818941505,32.120816467726286
-89.0028710982659,-160.40031197771586,32.1423244272803
-89.0028710982659,-159.3992757660167,32.1636195917074
-89.0028710982659,-158.39823955431754,32.18468831944517
-89.0028710982659,-157.39720334261838,32.20551745124317
-89.0028710982659,-156.3961671309192,32.22609432430386
-89.0028710982659,-155.39513091922004,32.24640682047925
-89.0028710982659,-154.39409470752088,32.26644341981353
-89.0028710982659,-153.39305849582172,32.28619322793077
