latitude,longitude,rf_moho,spline_moho,err_moho
32.46,96.39,70.9,70.13839093155492,0.7616090684450825
32.46,96.39,72.0,70.13839093155492,1.8616090684450768
37.9,95.4,61.0,58.49430798557369,2.505692014426309
32.68,77.2,56.3,61.53352280101525,5.233522801015255
40.0,94.8,49.2,52.842525772745645,3.6425257727456426
26.99,88.27,47.0,52.35351689547621,5.353516895476211
37.4,97.4,60.8,59.383035480651806,1.4169645193481912
29.54,98.23,66.6,64.37964137064786,2.220358629352134
27.91,96.32,50.34,56.85424480046138,6.514244800461377
34.1,78.12,72.0,63.81432965675597,8.185670343244027
36.3,98.1,58.8,61.88080875505976,3.0808087550597634
36.3,98.1,55.4,61.88080875505976,6.480808755059762
34.52,92.7,61.0,67.34332195490336,6.3433219549033595
31.26,92.09,71.2,68.45763216621042,2.7423678337895865
31.0,92.54,68.9,68.22393754779503,0.6760624522049739
30.75,92.86,66.8,67.82572363398816,1.0257236339881644
30.65,93.25,68.1,67.73676751365049,0.3632324863495029
31.66,93.2,68.8,69.53105547101157,0.7310554710115724
31.28,93.84,71.2,69.2882671125869,1.911732887413109
31.91,93.06,68.2,69.67953591476319,1.47953591476319
31.84,93.79,72.5,69.96136080668423,2.538639193315774
31.91,94.14,69.5,70.14295413343882,0.6429541334388205
31.59,94.71,69.1,69.98176819901352,0.8817681990135213
31.54,95.28,70.7,69.97768461016246,0.7223153898375472
31.25,95.9,71.4,69.51624036388326,1.88375963611675
31.19,96.5,71.7,69.23641789018231,2.4635821098176933
31.27,97.55,72.3,68.57280342434805,3.727196575651945
31.3,97.96,71.1,68.12135246036037,2.978647539639624
30.73,96.1,70.5,68.47381883433681,2.026181165663189
30.69,97.26,74.6,67.93551907417866,6.664480925821337
30.12,97.3,73.2,66.55591523479387,6.644084765206131
29.96,97.51,73.0,66.00767859932697,6.992321400673035
29.72,98.43,65.9,64.78250454807701,1.1174954519229914
30.01,96.69,69.9,66.39948957666084,3.500510423339165
29.91,95.47,65.0,66.03648009588655,1.0364800958865459
29.96,94.78,60.2,66.08068181374323,5.880681813743223
29.9,93.51,55.1,65.5052844034389,10.405284403438905
30.02,92.97,63.6,65.75832658474211,2.158326584742106
29.87,92.62,63.4,65.12626714559778,1.726267145597781
29.71,92.15,64.6,64.4135426626069,0.18645733739309378
29.19,91.76,63.9,62.26184833524434,1.6381516647556609
29.04,92.23,63.3,61.67651017258256,1.623489827417437
29.07,93.38,62.8,62.03039586124869,0.7696041387513048
29.49,94.58,52.3,64.19895694563604,11.898956945636044
26.06,99.56,46.8,47.565915693564705,0.7659156935647076
26.1,99.9,47.8,48.039290508044374,0.2392905080443768
34.05,96.3,73.0,68.59969557206307,4.4003044279369306
33.83,97.1,66.0,68.29915208824907,2.2991520882490732
32.85,96.58,76.0,69.85785583022873,6.142144169771271
32.33,95.97,72.0,70.35225783549203,1.6477421645079744
33.1,95.11,60.0,70.2149210762399,10.214921076239904
33.1,95.11,79.5,70.2149210762399,9.285078923760096
31.51,96.32,82.0,69.73614747043233,12.263852529567671
31.24,95.91,74.2,69.49860117178523,4.701398828214778
31.24,95.91,76.0,69.49860117178523,6.501398828214775
31.56,94.65,75.0,69.93375717699737,5.066242823002625
31.56,94.65,70.3,69.93375717699737,0.36624282300262223
31.88,93.78,71.3,69.9891147853761,1.3108852146238945
31.88,93.78,71.0,69.9891147853761,1.0108852146238974
31.7,92.42,70.8,69.17006981820208,1.629930181797917
31.7,92.42,73.0,69.17006981820208,3.82993018179792
34.27,104.24,47.0,48.90853467805205,1.9085346780520496
33.78,102.97,51.0,52.57657289545841,1.576572895458412
34.43,102.29,53.0,54.84753845611702,1.8475384561170216
35.05,104.57,49.0,48.529990647672534,0.470009352327466
35.11,102.89,53.0,52.93669626161047,0.06330373838952852
34.35,105.04,45.0,47.02081898830982,2.02081898830982
33.48,105.0,49.0,46.45259074980677,2.5474092501932333
32.87,106.46,47.0,43.20632706283375,3.7936729371662494
33.54,106.91,46.0,43.05210895431082,2.9478910456891825
33.91,105.97,46.0,44.826218505004945,1.1737814949950547
35.64,105.45,51.0,46.95353796293296,4.046462037067037
35.38,107.34,41.0,43.5630299083545,2.563029908354501
33.77,101.7,59.0,57.04618002602092,1.9538199739790798
32.87,104.78,53.0,46.55201423698699,6.447985763013008
27.32,88.6,49.0,53.80383564695322,4.8038356469532175
29.77,94.7,63.0,65.35618042660755,2.3561804266075512
31.58,77.0,56.3,58.96371817500679,2.6637181750067924
36.2,94.8,69.2,63.66857282749652,5.531427172503484
36.2,94.81,65.6,63.66894908959495,1.931050910405041
39.4,99.8,52.8,51.48789049991045,1.312109500089548
39.4,99.82,50.7,51.468869658410746,0.7688696584107433
27.36,88.56,52.0,53.99079429677581,1.9907942967758103
29.78,94.06,61.0,65.22155967863225,4.2215596786322465
36.27,96.96,59.0,62.929206735617555,3.929206735617555
35.66,98.41,74.0,63.015250120434935,10.984749879565065
36.28,98.12,55.1,61.90952144988174,6.809521449881736
36.28,98.12,60.0,61.90952144988174,1.909521449881737
37.61,99.39,63.0,56.96054000136146,6.0394599986385415
37.61,99.39,58.5,56.96054000136146,1.5394599986385415
29.99,85.7,72.8,62.97286568455953,9.827134315440468
30.07,85.55,76.3,63.09396503870185,13.206034961298144
30.14,85.41,73.5,63.18670623270619,10.313293767293807
30.21,85.33,73.2,63.31669461571617,9.88330538428383
30.28,85.3,74.3,63.47845056437323,10.821549435626764
30.36,85.31,74.3,63.68982345267084,10.610176547329154
30.43,85.29,74.3,63.84907657089926,10.45092342910074
30.5,85.2,75.7,63.95365066034786,11.746349339652141
30.58,85.18,75.7,64.1272255302332,11.572774469766799
30.65,85.14,77.3,64.25810719595864,13.041892804041353
30.86,85.07,77.0,64.65929893794006,12.340701062059935
37.34,98.23,66.0,58.94303169783335,7.056968302166652
37.34,98.23,65.0,58.94303169783335,6.056968302166652
31.02,85.13,74.2,65.01311491148026,9.186885088519745
31.08,85.0,70.9,65.03743981088382,5.862560189116181
31.15,85.01,69.0,65.1694139933315,3.830586006668497
31.23,85.07,70.7,65.34449128582872,5.355508714171279
31.38,85.1,68.0,65.59881681624229,2.401183183757709
31.45,85.16,72.3,65.73512969971216,6.564870300287836
31.52,85.18,72.2,65.84165961368016,6.3583403863198384
31.58,85.19,75.7,65.92432346688992,9.775676533110087
36.97,97.65,60.1,60.47644413430279,0.3764441343027869
36.97,97.65,55.0,60.47644413430279,5.476444134302788
31.86,84.95,76.3,66.1118600288048,10.188139971195199
32.12,84.69,69.0,66.21112293636172,2.7888770636382816
32.18,84.51,74.0,66.16595985104917,7.834040148950834
32.31,84.22,72.0,66.10929098527362,5.890709014726383
32.06,83.9,74.7,65.70999502561422,8.990004974385783
32.16,83.92,79.3,65.81950023728291,13.480499762717088
32.38,84.13,67.7,66.10851639086454,1.5914836091354658
32.89,84.29,71.0,66.36467153185605,4.635328468143953
32.95,84.3,67.0,66.37204280687723,0.6279571931227679
33.03,84.31,72.0,66.37489969017012,5.625100309829875
33.12,84.22,68.0,66.33566356095669,1.6643364390433106
37.52,96.0,60.0,59.5662537675135,0.4337462324864987
33.26,84.25,74.45,66.32024085229493,8.129759147705073
33.31,84.25,67.5,66.30668985964226,1.1933101403577382
33.42,84.26,64.4,66.27193385995776,1.8719338599577497
33.63,84.17,66.5,66.14836386131003,0.3516361386899689
33.75,84.27,66.7,66.09905448107966,0.6009455189203408
33.86,84.26,69.5,66.0188242681075,3.481175731892506
33.97,84.22,67.0,65.9239577679019,1.0760422320981036
37.37,94.78,56.0,60.15830698204752,4.15830698204752
