Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,33.93,88.78,55.74,,1.87,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,33.931,-106.055,37.3,,1.76,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.931499,-106.054901,38.5,,1.7625,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.937,-106.965202,34.75,,1.72,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.9375,-81.858101,34.5,,1.74,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.938,-113.005,28.0,,1.73,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.938,-94.093597,27.75,,1.8275,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.9397,-3.8372,27.0,,1.75,,,,,,,,,Africa,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,33.94,-106.97,32.0,,1.83,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.94,-94.09,28.0,,1.87,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.94,-82.69,37.0,,1.7,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.94,-81.86,36.0,,1.72,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.94,-3.84,27.4,,1.75,,,,,,,,,Africa,Mancilla2012,Stephenson 2024,Hk,-,,,,,,,
,,33.95,-112.33,32.0,,1.68,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.95,-106.012,38.3,,1.74,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.95,-106.01,41.0,,1.76,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.953,-112.333,30.8,,1.69,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.953499,-112.333099,32.0,,1.71,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.957,-109.254,31.5,,1.8,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.9571,-109.254097,40.5,,1.7,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.957401,-97.757301,43.5,,1.885,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.96,-115.949,33.96,,1.84,,,,,,,,,America_North,Yan2007,Stephenson 2024,Hk,-,,,,,,,
,,33.96,-109.25,44.0,,1.62,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.96,-100.26,46.0,,1.87,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.96,-97.76,40.0,,1.94,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.96,-90.21,35.0,,1.96,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.96,88.71,60.17,,1.88,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,33.9618,-90.211197,36.0,,1.8425,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.962898,-100.261497,47.5,,1.7375,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.969601,-102.7724,45.0,,1.76,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.97,-102.772,42.1,,1.79,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.97,-102.77,42.0,,1.83,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.97,-83.74,44.0,,1.71,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.978901,-95.621002,33.75,,1.7475,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.98,-95.62,36.0,,1.98,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.98,-85.99,41.0,,1.95,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.98,-3.03,34.4,,1.68,,,,,,,,,Africa,Mancilla2012,Stephenson 2024,Hk,-,,,,,,,
,,33.98,116.79,34.31,,1.8,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,33.9845,-3.035,34.0,,1.68,,,,,,,,,Africa,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,33.984809,-85.992373,48.5,,1.77,,,,,,,,,America_North,French2009,Stephenson 2024,Hk,-,,,,,,,
