Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-30.92,22.99,46.0,,1.75,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-30.92,22.99,47.0,,1.72,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-30.9,-65.2,48.0,,-,,,,,,,,,America_South,Heit2008,Stephenson 2024,RF_other,S_to_P,,,,,,,
,,-30.9,-65.2,34.5,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.78,-64.41,37.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.78,-64.41,37.7,,1.77,,,,,,,,,America_South,Perarnau2012,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.78,128.06,44.0,,1.791,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-30.78,128.06,40.0,,1.88,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-30.76,121.48,39.6,,1.744,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-30.76,121.48,38.0,,1.73,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-30.6147,116.709,36.3,,1.702,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-30.6147,116.709,37.1,,1.76,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-30.61,116.71,34.2,,1.772,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-30.61,116.71,35.0,,1.7,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-30.5,-69.5,70.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.5,-69.5,63.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.45,131.76,40.5,,-,,,,,,,,,GSC_global_database,64D.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-30.45,131.76,38.0,,-,,,,,,,,,GSC_global_database,64D.1,Stephenson 2024,Refraction,S_unreversed,,,,,,,
,,-30.41657,122.51029,37.3,,1.73,,,,,,,,,Australia,Sippl2017,Stephenson 2024,Hk,-,,,,,,,
,,-30.41657,122.51029,41.6,,1.71,,,,,,,,,Australia,Sippl2017,Stephenson 2024,Hk,-,,,,,,,
