# Metadata,# In some references the name of the compilation author is mentioned,,,,,,,,,,,,,,,,,,,,,,,,,
Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,,
,G15,35.38,107.34,41,,1.69,0.231,,6.12,,3.62,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G17,33.77,101.7,59,,1.71,0.24,,6.47,,3.78,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G17,33.77,101.7,59,,1.71,0.24,,6.47,,3.78,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G18,32.87,104.78,53,,1.68,0.226,,6.46,,3.85,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,GAN,27.32,88.6,49,,0,0,,6.03,,3.49,,,,India-Tibet,Singh,Singh 2015,,,,,,,,,
,GANZ,29.77,94.7,63,,1.73,0.249,,6.12,,3.54,,,,India-Tibet,Sherrington,Singh 2015,,,,,,,,,
,GHR,31.58,77,56.3,,0,0,,0,,0,,,,India-Tibet,Rai,Singh 2015,,,,,,,,,
,GOM,36.2,94.8,69.2,,1.71,0.24,,6.3,,3.68,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,GOM,36.2,94.81,65.6,,1.73,0.247,,6.47,,3.74,,,,India-Tibet,Chen,Singh 2015,,,,,,,,,
,GTA,39.4,99.8,52.8,,1.71,0.24,,6.3,,3.68,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,GTA,39.4,99.82,50.7,,1.69,0.233,,6.32,,3.74,,,,India-Tibet,Chen,Singh 2015,,,,,,,,,
,GTOK,27.36,88.56,52,,0,0,,0,,3.54,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,GZH,29.78,94.06,61,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Wang,Singh 2015,,,,,,,,,
,H02,36.27,96.96,59,,1.71,0.24,,6.38,,3.73,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H05,35.66,98.41,74,,1.71,0.24,,6.47,,3.78,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H06,36.28,98.12,55.1,,1.72,0.24,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H06,36.28,98.12,60,,1.72,0.245,,6.47,,3.76,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H09,37.61,99.39,63,,1.68,0.226,,6.47,,3.85,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H09,37.61,99.39,58.5,,1.7,0.24,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1100,29.99,85.7,72.8,,1.78,0.269,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1110,30.07,85.55,76.3,,1.7,0.235,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1120,30.14,85.41,73.5,,1.8,0.277,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1130,30.21,85.33,73.2,,1.77,0.266,,6.2,,3.5,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1140,30.28,85.3,74.3,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1150,30.36,85.31,74.3,,1.73,0.249,,6.2,,3.58,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1160,30.43,85.29,74.3,,1.73,0.249,,6.2,,3.58,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1170,30.5,85.2,75.7,,1.71,0.24,,6.2,,3.63,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1180,30.58,85.18,75.7,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1190,30.65,85.14,77.3,,1.7,0.235,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1220,30.86,85.07,77,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H12,37.34,98.23,66,,1.76,0.262,,6.47,,3.68,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H12,37.34,98.23,65,,1.77,0.27,,6.2,,3.5,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1240,31.02,85.13,74.2,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1250,31.08,85,70.9,,1.66,0.215,,6.2,,3.73,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1260,31.15,85.01,69,,1.8,0.277,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1270,31.23,85.07,70.7,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1290,31.38,85.1,68,,1.84,0.29,,6.2,,3.37,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1300,31.45,85.16,72.3,,1.76,0.262,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1310,31.52,85.18,72.2,,1.76,0.262,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1320,31.58,85.19,75.7,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H13,36.97,97.65,60.1,,1.7,0.24,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H13,36.97,97.65,55,,1.8,0.277,,6.38,,3.54,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H1360,31.86,84.95,76.3,,1.8,0.277,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1400,32.12,84.69,69,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1405,32.18,84.51,74,,1.77,0.266,,6.2,,3.5,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1415,32.31,84.22,72,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1422,32.06,83.9,74.7,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1423,32.16,83.92,79.3,,1.71,0.24,,6.2,,3.63,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1430,32.38,84.13,67.7,,1.8,0.277,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1500,32.89,84.29,71,,1.76,0.262,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1510,32.95,84.3,67,,1.77,0.266,,6.2,,3.5,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1520,33.03,84.31,72,,1.78,0.269,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H1530,33.12,84.22,68,,1.78,0.269,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,H15,37.52,96,60,,1.75,0.258,,6.38,,3.65,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,H1550,33.26,84.25,74.45,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
